Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.5
Loan Term (months),204
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,380713.36
Extraction Timestamp,20250727_185823
Monthly Income,"12,000.00"
Total Investment Amount,"633,631.18"
Total Investment Final Value,"1,292,147.68"
Total Investment Profit After Tax,"335,026.00"
Effective Annual Return After Tax,3.73%
Weighted Monthly Payment (30 years),"8,879.04"
Weighted Cost (should be ~0),-0.32
Weighted Investment Profit,"814,368.50"
Weighted Calculation Converged,Yes
