Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.75
Loan Term (months),228
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,548645.83
Extraction Timestamp,20250727_190049
Monthly Income,"12,000.00"
Total Investment Amount,"1,187,354.17"
Total Investment Final Value,"2,238,673.32"
Total Investment Profit After Tax,"533,997.07"
Effective Annual Return After Tax,2.94%
Weighted Monthly Payment (30 years),"7,730.31"
Weighted Cost (should be ~0),0.63
Weighted Investment Profit,"548,646.46"
Weighted Calculation Converged,Yes
