Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),192
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,201041.67
Extraction Timestamp,20250727_172803
Monthly Income,"12,000.00"
Total Investment Amount,"1,102,958.33"
Total Investment Final Value,"1,968,127.62"
Total Investment Profit After Tax,"432,182.87"
Effective Annual Return After Tax,3.19%
Weighted Monthly Payment (30 years),"5,983.83"
Weighted Cost (should be ~0),0.03
Weighted Investment Profit,"201,041.70"
Weighted Calculation Converged,Yes
