Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.75
Loan Term (months),180
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,253586.01
Extraction Timestamp,20250727_154538
Monthly Income,"12,000.00"
Total Investment Amount,"557,110.35"
Total Investment Final Value,"1,041,601.32"
Total Investment Profit After Tax,"242,194.67"
Effective Annual Return After Tax,3.70%
Weighted Monthly Payment (30 years),"8,243.37"
Weighted Cost (should be ~0),0.88
Weighted Investment Profit,"602,890.54"
Weighted Calculation Converged,Yes
