Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),3.5
Loan Term (months),300
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,438958.33
Extraction Timestamp,20250727_173804
Monthly Income,"12,000.00"
Total Investment Amount,"2,161,041.67"
Total Investment Final Value,"5,540,161.91"
Total Investment Profit After Tax,"1,812,536.02"
Effective Annual Return After Tax,3.36%
Weighted Monthly Payment (30 years),"5,916.17"
Weighted Cost (should be ~0),0.34
Weighted Investment Profit,"438,958.67"
Weighted Calculation Converged,Yes
