Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),3.25
Loan Term (months),96
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,96
Total Mortgage Interest,131354.17
Extraction Timestamp,20250727_190918
Monthly Income,"12,000.00"
Total Investment Amount,"43,640.62"
Total Investment Final Value,"48,895.87"
Total Investment Profit After Tax,"2,351.62"
Effective Annual Return After Tax,1.23%
Weighted Monthly Payment (30 years),"7,584.00"
Weighted Cost (should be ~0),-0.49
Weighted Investment Profit,"131,353.68"
Weighted Calculation Converged,Yes
