Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.5
Loan Term (months),276
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,553517.09
Extraction Timestamp,20250727_184415
Monthly Income,"12,000.00"
Total Investment Amount,"1,159,418.53"
Total Investment Final Value,"3,083,361.84"
Total Investment Profit After Tax,"1,028,147.50"
Effective Annual Return After Tax,3.81%
Weighted Monthly Payment (30 years),"8,926.64"
Weighted Cost (should be ~0),-0.02
Weighted Investment Profit,"1,152,581.46"
Weighted Calculation Converged,Yes
