Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),5.5
Loan Term (months),120
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,302315.34
Extraction Timestamp,20250729_023122
Monthly Income,"12,000.00"
Total Investment Amount,"137,684.66"
Total Investment Final Value,"199,751.15"
Total Investment Profit After Tax,"29,518.35"
Effective Annual Return After Tax,3.27%
Weighted Monthly Payment (30 years),"8,079.34"
Weighted Cost (should be ~0),0.17
Weighted Investment Profit,"302,315.51"
Weighted Calculation Converged,Yes
