Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.5
Loan Term (months),360
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,915078.83
Extraction Timestamp,20250727_185012
Monthly Income,"12,000.00"
Total Investment Amount,"1,836,864.26"
Total Investment Final Value,"6,300,896.55"
Total Investment Profit After Tax,"2,502,070.65"
Effective Annual Return After Tax,3.70%
Weighted Monthly Payment (30 years),"9,078.34"
Weighted Cost (should be ~0),-0.10
Weighted Investment Profit,"1,483,135.64"
Weighted Calculation Converged,Yes
