Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.5
Loan Term (months),300
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,584570.33
Extraction Timestamp,20250727_180731
Monthly Income,"12,000.00"
Total Investment Amount,"1,482,386.81"
Total Investment Final Value,"4,174,855.88"
Total Investment Profit After Tax,"1,457,496.22"
Effective Annual Return After Tax,3.71%
Weighted Monthly Payment (30 years),"8,394.46"
Weighted Cost (should be ~0),-0.03
Weighted Investment Profit,"1,117,613.16"
Weighted Calculation Converged,Yes
