Parameter,Value
Loan Type,זכאות
Interest Rate (%),6.0
Loan Term (months),228
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,751234.02
Extraction Timestamp,20250727_233851
Monthly Income,"12,000.00"
Total Investment Amount,"485,607.17"
Total Investment Final Value,"1,028,818.85"
Total Investment Profit After Tax,"280,402.28"
Effective Annual Return After Tax,3.51%
Weighted Monthly Payment (30 years),"10,909.50"
Weighted Cost (should be ~0),0.06
Weighted Investment Profit,"1,250,392.89"
Weighted Calculation Converged,Yes
