Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.75
Loan Term (months),144
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,314353.56
Extraction Timestamp,20250727_183946
Monthly Income,"12,000.00"
Total Investment Amount,"268,317.54"
Total Investment Final Value,"392,678.80"
Total Investment Profit After Tax,"59,695.25"
Effective Annual Return After Tax,2.78%
Weighted Monthly Payment (30 years),"8,600.71"
Weighted Cost (should be ~0),-0.34
Weighted Investment Profit,"459,682.11"
Weighted Calculation Converged,Yes
