Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.25
Loan Term (months),360
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,975400.23
Extraction Timestamp,20250728_085832
Monthly Income,"12,000.00"
Total Investment Amount,"1,973,637.00"
Total Investment Final Value,"6,357,545.77"
Total Investment Profit After Tax,"2,444,289.00"
Effective Annual Return After Tax,3.50%
Weighted Monthly Payment (30 years),"8,955.36"
Weighted Cost (should be ~0),0.57
Weighted Investment Profit,"1,346,363.57"
Weighted Calculation Converged,Yes
