Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.25
Loan Term (months),108
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,108
Total Mortgage Interest,111504.03
Extraction Timestamp,20250727_161709
Monthly Income,"12,000.00"
Total Investment Amount,"46,058.41"
Total Investment Final Value,"70,441.81"
Total Investment Profit After Tax,"11,595.63"
Effective Annual Return After Tax,4.18%
Weighted Monthly Payment (30 years),"8,014.72"
Weighted Cost (should be ~0),0.23
Weighted Investment Profit,"249,941.82"
Weighted Calculation Converged,Yes
