Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.75
Loan Term (months),324
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,487656.04
Extraction Timestamp,20250727_224607
Monthly Income,"12,000.00"
Total Investment Amount,"1,904,977.29"
Total Investment Final Value,"5,845,222.90"
Total Investment Profit After Tax,"2,163,811.52"
Effective Annual Return After Tax,3.73%
Weighted Monthly Payment (30 years),"7,307.02"
Weighted Cost (should be ~0),0.48
Weighted Investment Profit,"983,023.18"
Weighted Calculation Converged,Yes
