Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),6.0
Loan Term (months),240
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,668073.39
Extraction Timestamp,20250727_180610
Monthly Income,"12,000.00"
Total Investment Amount,"1,045,116.77"
Total Investment Final Value,"2,077,622.79"
Total Investment Profit After Tax,"530,109.07"
Effective Annual Return After Tax,3.04%
Weighted Monthly Payment (30 years),"8,858.18"
Weighted Cost (should be ~0),0.91
Weighted Investment Profit,"834,884.14"
Weighted Calculation Converged,Yes
