Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),192
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,276016.90
Extraction Timestamp,20250727_152055
Monthly Income,"12,000.00"
Total Investment Amount,"943,125.53"
Total Investment Final Value,"1,682,729.48"
Total Investment Profit After Tax,"369,511.29"
Effective Annual Return After Tax,3.19%
Weighted Monthly Payment (30 years),"6,888.30"
Weighted Cost (should be ~0),-0.37
Weighted Investment Profit,"360,874.09"
Weighted Calculation Converged,Yes
