Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),108
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,108
Total Mortgage Interest,156058.78
Extraction Timestamp,20250727_161856
Monthly Income,"12,000.00"
Total Investment Amount,"53,638.12"
Total Investment Final Value,"66,473.52"
Total Investment Profit After Tax,"5,920.35"
Effective Annual Return After Tax,2.07%
Weighted Monthly Payment (30 years),"8,033.64"
Weighted Cost (should be ~0),-0.97
Weighted Investment Profit,"242,360.90"
Weighted Calculation Converged,Yes
