Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.75
Loan Term (months),192
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,367327.39
Extraction Timestamp,20250727_170414
Monthly Income,"12,000.00"
Total Investment Amount,"594,830.75"
Total Investment Final Value,"1,125,423.54"
Total Investment Profit After Tax,"266,881.25"
Effective Annual Return After Tax,3.53%
Weighted Monthly Payment (30 years),"8,658.60"
Weighted Cost (should be ~0),-0.98
Weighted Investment Profit,"709,168.27"
Weighted Calculation Converged,Yes
