Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.0
Loan Term (months),120
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,268171.64
Extraction Timestamp,20250728_100814
Monthly Income,"12,000.00"
Total Investment Amount,"83,700.78"
Total Investment Final Value,"100,012.32"
Total Investment Profit After Tax,"7,441.81"
Effective Annual Return After Tax,1.54%
Weighted Monthly Payment (30 years),"8,648.58"
Weighted Cost (should be ~0),-0.13
Weighted Investment Profit,"364,568.70"
Weighted Calculation Converged,Yes
