Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),360
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,464476.30
Extraction Timestamp,20250728_084508
Monthly Income,"12,000.00"
Total Investment Amount,"2,484,560.93"
Total Investment Final Value,"8,525,660.39"
Total Investment Profit After Tax,"3,383,235.30"
Effective Annual Return After Tax,3.70%
Weighted Monthly Payment (30 years),"6,287.46"
Weighted Cost (should be ~0),-0.04
Weighted Investment Profit,"835,439.03"
Weighted Calculation Converged,Yes
