Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.25
Loan Term (months),312
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,904848.77
Extraction Timestamp,20250727_173957
Monthly Income,"12,000.00"
Total Investment Amount,"1,323,384.21"
Total Investment Final Value,"3,721,278.24"
Total Investment Profit After Tax,"1,303,970.13"
Effective Annual Return After Tax,3.56%
Weighted Monthly Payment (30 years),"9,873.16"
Weighted Cost (should be ~0),-0.13
Weighted Investment Profit,"1,420,615.66"
Weighted Calculation Converged,Yes
