Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.5
Loan Term (months),156
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,241498.84
Extraction Timestamp,20250727_225528
Monthly Income,"12,000.00"
Total Investment Amount,"547,784.28"
Total Investment Final Value,"860,163.37"
Total Investment Profit After Tax,"151,901.64"
Effective Annual Return After Tax,3.05%
Weighted Monthly Payment (30 years),"7,410.94"
Weighted Cost (should be ~0),0.92
Weighted Investment Profit,"324,216.64"
Weighted Calculation Converged,Yes
