Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.0
Loan Term (months),204
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,198089.48
Extraction Timestamp,20250727_172443
Monthly Income,"12,000.00"
Total Investment Amount,"1,002,813.46"
Total Investment Final Value,"1,964,899.10"
Total Investment Profit After Tax,"487,504.79"
Effective Annual Return After Tax,3.51%
Weighted Monthly Payment (30 years),"6,841.84"
Weighted Cost (should be ~0),-0.39
Weighted Investment Profit,"445,186.15"
Weighted Calculation Converged,Yes
