Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.25
Loan Term (months),120
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,117648.46
Extraction Timestamp,20250729_011139
Monthly Income,"12,000.00"
Total Investment Amount,"322,351.54"
Total Investment Final Value,"467,663.50"
Total Investment Profit After Tax,"69,109.26"
Effective Annual Return After Tax,3.27%
Weighted Monthly Payment (30 years),"6,749.63"
Weighted Cost (should be ~0),0.04
Weighted Investment Profit,"117,648.50"
Weighted Calculation Converged,Yes
