Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.75
Loan Term (months),360
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,360
Total Mortgage Interest,536060.85
Extraction Timestamp,20250729_042916
Monthly Income,"12,000.00"
Total Investment Amount,"2,550,255.37"
Total Investment Final Value,"9,041,374.08"
Total Investment Profit After Tax,"3,643,000.67"
Effective Annual Return After Tax,3.81%
Weighted Monthly Payment (30 years),"5,676.33"
Weighted Cost (should be ~0),0.03
Weighted Investment Profit,"769,744.67"
Weighted Calculation Converged,Yes
