Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),252
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,368095.37
Extraction Timestamp,20250727_153158
Monthly Income,"12,000.00"
Total Investment Amount,"1,542,738.83"
Total Investment Final Value,"3,397,247.11"
Total Investment Profit After Tax,"966,154.63"
Effective Annual Return After Tax,3.34%
Weighted Monthly Payment (30 years),"6,543.42"
Weighted Cost (should be ~0),0.59
Weighted Investment Profit,"481,261.77"
Weighted Calculation Converged,Yes
