Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),360
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,590651.59
Extraction Timestamp,20250727_163345
Monthly Income,"12,000.00"
Total Investment Amount,"2,402,708.25"
Total Investment Final Value,"8,068,825.17"
Total Investment Profit After Tax,"3,168,210.37"
Effective Annual Return After Tax,3.63%
Weighted Monthly Payment (30 years),"6,838.49"
Weighted Cost (should be ~0),-0.97
Weighted Investment Profit,"917,290.77"
Weighted Calculation Converged,Yes
