Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.75
Loan Term (months),156
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,324818.65
Extraction Timestamp,20250728_085749
Monthly Income,"12,000.00"
Total Investment Amount,"478,855.41"
Total Investment Final Value,"724,169.89"
Total Investment Profit After Tax,"118,643.04"
Effective Annual Return After Tax,2.79%
Weighted Monthly Payment (30 years),"7,950.43"
Weighted Cost (should be ~0),-0.18
Weighted Investment Profit,"393,144.41"
Weighted Calculation Converged,Yes
