Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.0
Loan Term (months),144
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,354419.69
Extraction Timestamp,20250727_193525
Monthly Income,"12,000.00"
Total Investment Amount,"105,071.62"
Total Investment Final Value,"163,600.20"
Total Investment Profit After Tax,"28,388.97"
Effective Annual Return After Tax,3.24%
Weighted Monthly Payment (30 years),"9,580.37"
Weighted Cost (should be ~0),-0.97
Weighted Investment Profit,"622,927.41"
Weighted Calculation Converged,Yes
