Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.5
Loan Term (months),360
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,1258177.91
Extraction Timestamp,20250727_174315
Monthly Income,"12,000.00"
Total Investment Amount,"1,195,279.59"
Total Investment Final Value,"4,451,328.45"
Total Investment Profit After Tax,"1,838,256.76"
Effective Annual Return After Tax,3.97%
Weighted Monthly Payment (30 years),"11,443.04"
Weighted Cost (should be ~0),-0.46
Weighted Investment Profit,"2,124,719.94"
Weighted Calculation Converged,Yes
