Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.75
Loan Term (months),168
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,224197.33
Extraction Timestamp,20250727_225336
Monthly Income,"12,000.00"
Total Investment Amount,"547,833.68"
Total Investment Final Value,"950,922.69"
Total Investment Profit After Tax,"199,139.81"
Effective Annual Return After Tax,3.48%
Weighted Monthly Payment (30 years),"7,827.26"
Weighted Cost (should be ~0),-0.09
Weighted Investment Profit,"468,166.23"
Weighted Calculation Converged,Yes
