Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),4.0
Loan Term (months),360
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,601666.67
Extraction Timestamp,20250727_184941
Monthly Income,"12,000.00"
Total Investment Amount,"2,718,333.33"
Total Investment Final Value,"8,599,177.93"
Total Investment Profit After Tax,"3,269,733.02"
Effective Annual Return After Tax,3.45%
Weighted Monthly Payment (30 years),"6,102.76"
Weighted Cost (should be ~0),0.10
Weighted Investment Profit,"601,666.77"
Weighted Calculation Converged,Yes
