Parameter,Value
Loan Type,זכאות
Interest Rate (%),6.0
Loan Term (months),288
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,854262.24
Extraction Timestamp,20250727_184718
Monthly Income,"12,000.00"
Total Investment Amount,"1,317,457.49"
Total Investment Final Value,"3,155,048.97"
Total Investment Profit After Tax,"976,744.61"
Effective Annual Return After Tax,3.24%
Weighted Monthly Payment (30 years),"9,426.59"
Weighted Cost (should be ~0),0.28
Weighted Investment Profit,"1,138,542.79"
Weighted Calculation Converged,Yes
