Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.75
Loan Term (months),168
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,218641.04
Extraction Timestamp,20250727_195022
Monthly Income,"12,000.00"
Total Investment Amount,"599,007.61"
Total Investment Final Value,"1,023,860.35"
Total Investment Profit After Tax,"209,551.12"
Effective Annual Return After Tax,3.38%
Weighted Monthly Payment (30 years),"7,558.11"
Weighted Cost (should be ~0),0.70
Weighted Investment Profit,"416,993.09"
Weighted Calculation Converged,Yes
