Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),144
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,141618.73
Extraction Timestamp,20250727_194548
Monthly Income,"12,000.00"
Total Investment Amount,"523,492.02"
Total Investment Final Value,"806,278.51"
Total Investment Profit After Tax,"136,634.89"
Effective Annual Return After Tax,3.16%
Weighted Monthly Payment (30 years),"6,839.86"
Weighted Cost (should be ~0),-0.19
Weighted Investment Profit,"204,507.78"
Weighted Calculation Converged,Yes
