Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.5
Loan Term (months),228
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,619533.89
Extraction Timestamp,20250728_102448
Monthly Income,"12,000.00"
Total Investment Amount,"835,445.25"
Total Investment Final Value,"1,656,388.27"
Total Investment Profit After Tax,"420,169.91"
Effective Annual Return After Tax,3.19%
Weighted Monthly Payment (30 years),"9,224.60"
Weighted Cost (should be ~0),-0.20
Weighted Investment Profit,"900,554.55"
Weighted Calculation Converged,Yes
