Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),300
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,902344.96
Extraction Timestamp,20250728_102505
Monthly Income,"12,000.00"
Total Investment Amount,"978,177.33"
Total Investment Final Value,"2,871,674.29"
Total Investment Profit After Tax,"1,029,412.64"
Effective Annual Return After Tax,3.87%
Weighted Monthly Payment (30 years),"10,701.86"
Weighted Cost (should be ~0),0.12
Weighted Investment Profit,"1,621,822.79"
Weighted Calculation Converged,Yes
