Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.75
Loan Term (months),120
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,156616.98
Extraction Timestamp,20250728_234153
Monthly Income,"12,000.00"
Total Investment Amount,"158,318.73"
Total Investment Final Value,"253,187.23"
Total Investment Profit After Tax,"45,525.29"
Effective Annual Return After Tax,4.16%
Weighted Monthly Payment (30 years),"7,817.63"
Weighted Cost (should be ~0),-0.12
Weighted Investment Profit,"281,681.16"
Weighted Calculation Converged,Yes
