Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),360
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,958580.46
Extraction Timestamp,20250727_192828
Monthly Income,"12,000.00"
Total Investment Amount,"1,681,575.24"
Total Investment Final Value,"5,944,576.56"
Total Investment Profit After Tax,"2,395,151.38"
Effective Annual Return After Tax,3.80%
Weighted Monthly Payment (30 years),"9,547.44"
Weighted Cost (should be ~0),0.84
Weighted Investment Profit,"1,638,425.60"
Weighted Calculation Converged,Yes
