Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.5
Loan Term (months),240
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,409663.93
Extraction Timestamp,20250727_160940
Monthly Income,"12,000.00"
Total Investment Amount,"1,213,304.25"
Total Investment Final Value,"2,616,634.40"
Total Investment Profit After Tax,"726,986.31"
Effective Annual Return After Tax,3.41%
Weighted Monthly Payment (30 years),"7,558.54"
Weighted Cost (should be ~0),0.22
Weighted Investment Profit,"666,695.97"
Weighted Calculation Converged,Yes
