Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.5
Loan Term (months),360
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,1118429.68
Extraction Timestamp,20250728_104504
Monthly Income,"12,000.00"
Total Investment Amount,"1,633,513.41"
Total Investment Final Value,"5,460,584.01"
Total Investment Profit After Tax,"2,141,996.47"
Effective Annual Return After Tax,3.62%
Weighted Monthly Payment (30 years),"10,114.90"
Weighted Cost (should be ~0),0.62
Weighted Investment Profit,"1,686,487.20"
Weighted Calculation Converged,Yes
