Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),240
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,240
Total Mortgage Interest,692891.20
Extraction Timestamp,20250729_021209
Monthly Income,"12,000.00"
Total Investment Amount,"632,407.89"
Total Investment Final Value,"1,762,910.41"
Total Investment Profit After Tax,"596,590.11"
Effective Annual Return After Tax,4.63%
Weighted Monthly Payment (30 years),"9,907.44"
Weighted Cost (should be ~0),-0.27
Weighted Investment Profit,"1,276,152.06"
Weighted Calculation Converged,Yes
