Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),5.5
Loan Term (months),96
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,96
Total Mortgage Interest,222291.67
Extraction Timestamp,20250727_175457
Monthly Income,"12,000.00"
Total Investment Amount,"25,466.15"
Total Investment Final Value,"27,237.98"
Total Investment Profit After Tax,781.85
Effective Annual Return After Tax,0.72%
Weighted Monthly Payment (30 years),"8,355.47"
Weighted Cost (should be ~0),0.30
Weighted Investment Profit,"222,291.97"
Weighted Calculation Converged,Yes
