Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.75
Loan Term (months),216
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,519214.87
Extraction Timestamp,20250727_194123
Monthly Income,"12,000.00"
Total Investment Amount,"745,677.73"
Total Investment Final Value,"1,472,372.33"
Total Investment Profit After Tax,"370,339.97"
Effective Annual Return After Tax,3.35%
Weighted Monthly Payment (30 years),"9,026.71"
Weighted Cost (should be ~0),-1.00
Weighted Investment Profit,"846,321.28"
Weighted Calculation Converged,Yes
