Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.0
Loan Term (months),360
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,351791.39
Extraction Timestamp,20250727_155231
Monthly Income,"12,000.00"
Total Investment Amount,"2,704,694.47"
Total Investment Final Value,"9,210,936.23"
Total Investment Profit After Tax,"3,641,124.79"
Effective Annual Return After Tax,3.68%
Weighted Monthly Payment (30 years),"5,419.10"
Weighted Cost (should be ~0),-0.72
Weighted Investment Profit,"615,304.82"
Weighted Calculation Converged,Yes
