Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.5
Loan Term (months),192
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,342838.90
Extraction Timestamp,20250727_181932
Monthly Income,"12,000.00"
Total Investment Amount,"619,319.24"
Total Investment Final Value,"1,177,056.35"
Total Investment Profit After Tax,"280,630.11"
Effective Annual Return After Tax,3.56%
Weighted Monthly Payment (30 years),"8,497.93"
Weighted Cost (should be ~0),-0.35
Weighted Investment Profit,"684,680.41"
Weighted Calculation Converged,Yes
