Parameter,Value
Loan Type,זכאות
Interest Rate (%),6.0
Loan Term (months),168
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,465340.31
Extraction Timestamp,20250727_183955
Monthly Income,"12,000.00"
Total Investment Amount,"395,804.35"
Total Investment Final Value,"603,985.41"
Total Investment Profit After Tax,"101,169.37"
Effective Annual Return After Tax,2.64%
Weighted Monthly Payment (30 years),"9,105.50"
Weighted Cost (should be ~0),-0.14
Weighted Investment Profit,"620,195.51"
Weighted Calculation Converged,Yes
