Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.0
Loan Term (months),360
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,1016754.25
Extraction Timestamp,20250727_183154
Monthly Income,"12,000.00"
Total Investment Amount,"1,735,188.84"
Total Investment Final Value,"5,880,740.28"
Total Investment Profit After Tax,"2,322,033.56"
Effective Annual Return After Tax,3.66%
Weighted Monthly Payment (30 years),"9,596.62"
Weighted Cost (should be ~0),0.88
Weighted Investment Profit,"1,584,812.04"
Weighted Calculation Converged,Yes
