Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.25
Loan Term (months),204
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,192187.50
Extraction Timestamp,20250727_164217
Monthly Income,"12,000.00"
Total Investment Amount,"1,255,812.50"
Total Investment Final Value,"2,344,507.41"
Total Investment Profit After Tax,"548,769.58"
Effective Annual Return After Tax,3.25%
Weighted Monthly Payment (30 years),"5,720.34"
Weighted Cost (should be ~0),-0.86
Weighted Investment Profit,"192,186.64"
Weighted Calculation Converged,Yes
