Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),180
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,386582.94
Extraction Timestamp,20250727_181954
Monthly Income,"12,000.00"
Total Investment Amount,"559,095.26"
Total Investment Final Value,"958,537.62"
Total Investment Profit After Tax,"197,969.53"
Effective Annual Return After Tax,3.17%
Weighted Monthly Payment (30 years),"8,511.62"
Weighted Cost (should be ~0),-0.18
Weighted Investment Profit,"600,904.56"
Weighted Calculation Converged,Yes
