Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.0
Loan Term (months),264
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,264
Total Mortgage Interest,745560.76
Extraction Timestamp,20250727_194217
Monthly Income,"12,000.00"
Total Investment Amount,"857,601.72"
Total Investment Final Value,"2,121,029.75"
Total Investment Profit After Tax,"668,955.71"
Effective Annual Return After Tax,3.68%
Weighted Monthly Payment (30 years),"10,208.18"
Weighted Cost (should be ~0),0.11
Weighted Investment Profit,"1,310,398.39"
Weighted Calculation Converged,Yes
