Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),300
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,342260.29
Extraction Timestamp,20250727_155205
Monthly Income,"12,000.00"
Total Investment Amount,"1,923,697.61"
Total Investment Final Value,"5,294,729.93"
Total Investment Profit After Tax,"1,820,628.41"
Effective Annual Return After Tax,3.63%
Weighted Monthly Payment (30 years),"6,408.05"
Weighted Cost (should be ~0),-0.44
Weighted Investment Profit,"676,301.95"
Weighted Calculation Converged,Yes
