Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.75
Loan Term (months),108
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,108
Total Mortgage Interest,134992.55
Extraction Timestamp,20250727_194637
Monthly Income,"12,000.00"
Total Investment Amount,"38,542.09"
Total Investment Final Value,"54,222.18"
Total Investment Profit After Tax,"7,403.52"
Effective Annual Return After Tax,3.33%
Weighted Monthly Payment (30 years),"8,100.78"
Weighted Cost (should be ~0),-0.05
Weighted Investment Profit,"257,457.86"
Weighted Calculation Converged,Yes
