Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.25
Loan Term (months),240
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,456946.35
Extraction Timestamp,20250727_171057
Monthly Income,"12,000.00"
Total Investment Amount,"1,315,626.39"
Total Investment Final Value,"2,719,758.31"
Total Investment Profit After Tax,"723,983.16"
Effective Annual Return After Tax,3.22%
Weighted Monthly Payment (30 years),"7,293.13"
Weighted Cost (should be ~0),0.58
Weighted Investment Profit,"564,374.19"
Weighted Calculation Converged,Yes
