Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.0
Loan Term (months),324
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,594203.66
Extraction Timestamp,20250727_182832
Monthly Income,"12,000.00"
Total Investment Amount,"2,145,369.12"
Total Investment Final Value,"6,043,786.77"
Total Investment Profit After Tax,"2,124,954.67"
Effective Annual Return After Tax,3.43%
Weighted Monthly Payment (30 years),"6,922.25"
Weighted Cost (should be ~0),0.20
Weighted Investment Profit,"742,631.09"
Weighted Calculation Converged,Yes
