Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.0
Loan Term (months),120
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,246475.73
Extraction Timestamp,20250729_034744
Monthly Income,"12,000.00"
Total Investment Amount,"50,898.29"
Total Investment Final Value,"92,635.26"
Total Investment Profit After Tax,"20,314.94"
Effective Annual Return After Tax,5.37%
Weighted Monthly Payment (30 years),"9,133.25"
Weighted Cost (should be ~0),0.65
Weighted Investment Profit,"479,889.17"
Weighted Calculation Converged,Yes
