Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.5
Loan Term (months),156
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,353477.47
Extraction Timestamp,20250728_084311
Monthly Income,"12,000.00"
Total Investment Amount,"205,364.20"
Total Investment Final Value,"348,656.93"
Total Investment Profit After Tax,"70,373.36"
Effective Annual Return After Tax,3.60%
Weighted Monthly Payment (30 years),"9,438.54"
Weighted Cost (should be ~0),0.46
Weighted Investment Profit,"666,636.25"
Weighted Calculation Converged,Yes
