Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.25
Loan Term (months),180
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,337347.60
Extraction Timestamp,20250727_164524
Monthly Income,"12,000.00"
Total Investment Amount,"743,342.59"
Total Investment Final Value,"1,244,961.02"
Total Investment Profit After Tax,"247,754.38"
Effective Annual Return After Tax,3.03%
Weighted Monthly Payment (30 years),"7,544.90"
Weighted Cost (should be ~0),0.07
Weighted Investment Profit,"416,657.48"
Weighted Calculation Converged,Yes
