Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.75
Loan Term (months),360
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,1092341.56
Extraction Timestamp,20250727_224443
Monthly Income,"12,000.00"
Total Investment Amount,"1,810,483.88"
Total Investment Final Value,"5,793,329.73"
Total Investment Profit After Tax,"2,220,204.74"
Effective Annual Return After Tax,3.48%
Weighted Monthly Payment (30 years),"9,662.77"
Weighted Cost (should be ~0),-0.87
Weighted Investment Profit,"1,509,515.26"
Weighted Calculation Converged,Yes
