Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.5
Loan Term (months),324
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,430019.86
Extraction Timestamp,20250727_150951
Monthly Income,"12,000.00"
Total Investment Amount,"2,028,854.30"
Total Investment Final Value,"6,166,865.16"
Total Investment Profit After Tax,"2,270,555.73"
Effective Annual Return After Tax,3.70%
Weighted Monthly Payment (30 years),"6,805.11"
Weighted Cost (should be ~0),0.90
Weighted Investment Profit,"859,146.60"
Weighted Calculation Converged,Yes
