Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.25
Loan Term (months),300
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,929085.98
Extraction Timestamp,20250727_184653
Monthly Income,"12,000.00"
Total Investment Amount,"1,000,555.54"
Total Investment Final Value,"2,860,214.98"
Total Investment Profit After Tax,"1,009,140.10"
Effective Annual Return After Tax,3.77%
Weighted Monthly Payment (30 years),"10,709.56"
Weighted Cost (should be ~0),0.63
Weighted Investment Profit,"1,599,445.09"
Weighted Calculation Converged,Yes
