Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.25
Loan Term (months),156
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,147187.50
Extraction Timestamp,20250727_175427
Monthly Income,"12,000.00"
Total Investment Amount,"724,812.50"
Total Investment Final Value,"1,148,262.48"
Total Investment Profit After Tax,"206,111.69"
Effective Annual Return After Tax,3.11%
Weighted Monthly Payment (30 years),"6,271.97"
Weighted Cost (should be ~0),-0.45
Weighted Investment Profit,"147,187.05"
Weighted Calculation Converged,Yes
