Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.5
Loan Term (months),180
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,289680.96
Extraction Timestamp,20250727_152147
Monthly Income,"12,000.00"
Total Investment Amount,"721,563.40"
Total Investment Final Value,"1,246,217.99"
Total Investment Profit After Tax,"260,160.36"
Effective Annual Return After Tax,3.21%
Weighted Monthly Payment (30 years),"7,529.59"
Weighted Cost (should be ~0),0.17
Weighted Investment Profit,"438,436.77"
Weighted Calculation Converged,Yes
